Paracetamol,
1733.72,2198.3
1735.44,2259.0
1737.15,2278.1
1738.87,2223.9
1740.58,2218.8
1742.29,2296.8
1744.01,2249.9
1745.72,2232.1
1747.43,2197.6
1749.14,2296.2
1750.85,2330.7
1752.56,2190.6
1754.27,2247.4
1755.98,2194.2
1757.68,2224.3
1759.39,2236.6
1761.1,2241.0
1762.8,2254.5
1764.5,2171.4
1766.21,2200.3
1767.91,2186.6
1769.61,2226.9
1771.32,2127.6
1773.02,2121.5
1774.72,2163.5
1776.42,2058.2
1778.12,2063.9
1779.81,2041.1
1781.51,2057.8
1783.21,2040.7
1784.9,2055.4
1786.6,2028.9
1788.3,2058.8
1789.99,1998.1
1791.68,2054.9
1793.38,1999.2
1795.07,1999.0
1796.76,2062.1
1798.45,2020.9
1800.14,2049.5
1801.83,2065.1
1803.52,2009.9
1805.21,2029.2
1806.9,2020.4
1808.58,2022.6
1810.27,1972.6
1811.95,1964.4
1813.64,2018.3
1815.32,2069.3
1817.01,2042.5
1818.69,1972.8
1820.37,1984.1
1822.05,1982.8
1823.73,1994.8
1825.41,1983.4
1827.09,2016.8
1828.77,1950.0
1830.45,1994.1
1832.13,1970.5
1833.8,1976.6
1835.48,1947.9
1837.16,1979.8
1838.83,2004.0
1840.5,2064.1
1842.18,1968.9
1843.85,2039.9
1845.52,1997.0
1847.19,2019.9
1848.87,2076.2
1850.54,2072.4
1852.2,2010.6
1853.87,1969.3
1855.54,1987.6
1857.21,1976.7
1858.88,1993.9
1860.54,2104.4
1862.21,1972.4
1863.87,1941.7
1865.54,1960.6
1867.2,1976.6
1868.86,1912.0
1870.53,1898.1
1872.19,1967.3
1873.85,1976.7
1875.51,1915.3
1877.17,1925.6
1878.83,1983.7
1880.48,2017.8
1882.14,1947.1
1883.8,1918.7
1885.46,1944.7
1887.11,1990.5
1888.77,1895.4
1890.42,2046.2
1892.07,1918.6
1893.73,1936.5
1895.38,1889.3
1897.03,1931.8
1898.68,1977.2
1900.33,1898.3
1901.98,1918.1
1903.63,1978.7
1905.28,1914.0
1906.93,1863.6
1908.57,1951.9
1910.22,1863.9
1911.87,1816.9
1913.51,1860.4
1915.16,1920.5
1916.8,1791.9
1918.44,1860.2
1920.09,1812.7
1921.73,1871.6
1923.37,1808.5
1925.01,1821.1
1926.65,1824.8
1928.29,1807.1
1929.93,1792.9
1931.56,1896.7
1933.2,1877.6
1934.84,1825.1
1936.47,1796.4
1938.11,1907.5
1939.74,1829.1
1941.38,1850.2
1943.01,1763.5
1944.64,1797.4
1946.28,1824.5
1947.91,1766.1
1949.54,1807.8
1951.17,1887.1
1952.8,1847.7
1954.43,1754.8
1956.06,1837.9
1957.68,1778.1
1959.31,1878.4
1960.94,1831.1
1962.56,1825.6
1964.19,1743.2
1965.81,1842.7
1967.44,1767.2
1969.06,1735.5
1970.68,1739.2
1972.3,1762.8
1973.92,1727.5
1975.55,1825.3
1977.16,1760.5
1978.78,1706.3
1980.4,1747.4
1982.02,1797.1
1983.64,1737.6
1985.25,1829.7
1986.87,1704.8
1988.49,1759.8
1990.1,1896.5
1991.72,1724.6
1993.33,1717.0
1994.94,1713.2
1996.55,1737.7
1998.17,1767.5
1999.78,1720.9
2001.39,1723.7
2003.0,1769.6
2004.61,1707.4
2006.21,1696.4
2007.82,1691.2
2009.43,1690.7
2011.04,1687.6
2012.64,1786.9
2014.25,1737.3
2015.85,1717.9
2017.46,1791.1
2019.06,1762.9
2020.66,1748.6
2022.26,1772.7
2023.86,1833.0
2025.47,1842.2
2027.07,1738.5
2028.67,1851.3
2030.26,1806.1
2031.86,1758.8
2033.46,1705.3
2035.06,1749.9
2036.65,1683.8
2038.25,1746.8
2039.84,1747.8
2041.44,1665.1
2043.03,1697.3
2044.63,1686.4
2046.22,1738.0
2047.81,1678.6
2049.4,1681.0
2050.99,1704.5
2052.58,1666.8
2054.17,1728.7
2055.76,1684.5
2057.35,1704.6
2058.94,1688.4
2060.52,1670.8
2062.11,1754.5
2063.7,1711.4
2065.28,1730.9
2066.87,1607.3
2068.45,1653.0
2070.03,1907.4
2071.62,1706.3
2073.2,1659.5
2074.78,1647.4
2076.36,1697.8
2077.94,1653.8
2079.52,1629.3
2081.1,1659.7
2082.68,1778.8
2084.26,1674.2
2085.83,1693.9
2087.41,1671.1
2088.98,1802.7
2090.56,1695.5
2092.13,1687.4
2093.71,1678.1
2095.28,1685.6
2096.85,1767.6
2098.43,1673.0
2100.0,1636.0
2101.57,1647.3
2103.14,1635.4
2104.71,1630.4
2106.28,1582.1
2107.85,1629.9
2109.41,1641.4
2110.98,1676.9
2112.55,1629.0
2114.11,1621.3
2115.68,1605.3
2117.24,1597.9
2118.81,1599.6
2120.37,1640.9
2121.93,1642.9
2123.5,1602.8
2125.06,1604.9
2126.62,1625.8
2128.18,1610.8
2129.74,1597.5
2131.3,1569.7
2132.86,1609.5
2134.41,1596.1
2135.97,1576.1
2137.53,1616.8
2139.08,1596.1
2140.64,1534.3
2142.2,1593.5
2143.75,1539.6
2145.3,1556.0
2146.86,1547.7
2148.41,1546.2
2149.96,1769.6
2151.51,1717.0
2153.06,1580.2
2154.61,1546.4
2156.16,1561.6
2157.71,1551.0
2159.26,1556.8
2160.81,1620.9
2162.35,1667.7
2163.9,1569.8
2165.45,1570.9
2166.99,1573.2
2168.54,1528.0
2170.08,1544.4
2171.62,1525.5
2173.17,1555.5
2174.71,1556.3
2176.25,1602.7
2177.79,1551.6
2179.33,1555.6
2180.87,1578.2
2182.41,1585.2
2183.95,1598.9
