N,N - Dimethylformahide
cm^-1,Intensity
986.0,2039.8829345703125
987.0,2048.28125
988.0,2054.81689453125
989.0,2064.320068359375
990.0,2080.37158203125
991.0,2102.5390625
992.0,2127.832275390625
993.0,2154.42041015625
994.0,2183.201171875
995.0,2216.0234375
996.0,2253.580810546875
997.0,2295.42578125
998.0,2340.902587890625
999.0,2389.048828125
1000.0,2438.19873046875
1001.0,2486.824462890625
1002.0,2534.433837890625
1003.0,2580.291015625
1004.0,2621.217529296875
1005.0,2652.42138671875
1006.0,2671.822021484375
1007.0,2682.912841796875
1008.0,2692.1181640625
1009.0,2703.362060546875
1010.0,2715.859375
1011.0,2726.560302734375
1012.0,2732.98583984375
1013.0,2733.190673828125
1014.0,2724.822265625
1015.0,2706.5654296875
1016.0,2680.945556640625
1017.0,2654.2998046875
1018.0,2632.609375
1019.0,2617.0439453125
1020.0,2603.69873046875
1021.0,2587.474365234375
1022.0,2566.08740234375
1023.0,2540.98046875
1024.0,2515.459228515625
1025.0,2492.298095703125
1026.0,2472.279296875
1027.0,2453.986572265625
1028.0,2434.95068359375
1029.0,2413.792724609375
1030.0,2391.759521484375
1031.0,2371.9033203125
1032.0,2356.412841796875
1033.0,2344.883544921875
1034.0,2335.396484375
1035.0,2326.9326171875
1036.0,2320.219482421875
1037.0,2316.369873046875
1038.0,2315.416748046875
1039.0,2316.537353515625
1040.0,2319.28759765625
1041.0,2324.14404296875
1042.0,2331.979248046875
1043.0,2343.41162109375
1044.0,2358.576171875
1045.0,2377.049560546875
1046.0,2397.916259765625
1047.0,2420.47802734375
1048.0,2445.35595703125
1049.0,2474.5751953125
1050.0,2509.906494140625
1051.0,2551.0732421875
1052.0,2596.181884765625
1053.0,2644.2451171875
1054.0,2696.931884765625
1055.0,2757.579345703125
1056.0,2828.794921875
1057.0,2911.017333984375
1058.0,3002.177978515625
1059.0,3097.359375
1060.0,3189.197998046875
1061.0,3270.6552734375
1062.0,3338.489501953125
1063.0,3393.017578125
1064.0,3433.538818359375
1065.0,3455.311279296875
1066.0,3453.27783203125
1067.0,3429.155517578125
1068.0,3393.429931640625
1069.0,3359.573974609375
1070.0,3336.64794921875
1071.0,3326.963134765625
1072.0,3328.86865234375
1073.0,3340.77099609375
1074.0,3364.131103515625
1075.0,3404.7421875
1076.0,3470.955078125
1077.0,3569.05078125
1078.0,3700.071533203125
1079.0,3862.365234375
1080.0,4057.580078125
1081.0,4293.1669921875
1082.0,4578.45556640625
1083.0,4918.5078125
1084.0,5310.7724609375
1085.0,5744.7666015625
1086.0,6202.66259765625
1087.0,6660.537109375
1088.0,7090.86181640625
1089.0,7465.0810546875
1090.0,7755.4296875
1091.0,7937.9189453125
1092.0,7997.8564453125
1093.0,7934.35107421875
1094.0,7758.978515625
1095.0,7490.173828125
1096.0,7150.0185546875
1097.0,6765.095703125
1098.0,6364.8623046875
1099.0,5973.28369140625
1100.0,5600.623046875
1101.0,5245.70556640625
1102.0,4907.58984375
1103.0,4594.0048828125
1104.0,4317.904296875
1105.0,4087.492919921875
1106.0,3900.83837890625
1107.0,3748.479736328125
1108.0,3618.870361328125
1109.0,3501.94580078125
1110.0,3390.944091796875
1111.0,3283.493408203125
1112.0,3180.992431640625
1113.0,3085.996826171875
1114.0,2999.9443359375
1115.0,2923.09912109375
1116.0,2855.336181640625
1117.0,2795.52001953125
1118.0,2740.1787109375
1119.0,2684.304443359375
1120.0,2624.978759765625
1121.0,2564.642578125
1122.0,2510.149658203125
1123.0,2467.511962890625
1124.0,2436.875244140625
1125.0,2412.675048828125
1126.0,2388.82568359375
1127.0,2363.372802734375
1128.0,2337.913330078125
1129.0,2313.702880859375
1130.0,2290.18359375
1131.0,2267.502197265625
1132.0,2248.55615234375
1133.0,2236.979248046875
1134.0,2233.49755859375
1135.0,2235.08203125
1136.0,2237.157958984375
1137.0,2236.041015625
1138.0,2230.51806640625
1139.0,2222.983642578125
1140.0,2218.592041015625
1141.0,2220.7861328125
