x_original,nm,cm^-1,intensity
923.12,902.86,1659.58,10043.00
923.07,902.81,1659.07,10103.00
923.01,902.77,1658.55,10016.00
922.96,902.73,1658.04,10102.00
922.91,902.69,1657.53,10045.00
922.86,902.65,1657.01,10054.00
922.81,902.60,1656.50,10068.00
922.75,902.56,1655.98,10100.00
922.70,902.52,1655.47,10064.00
922.65,902.48,1654.96,10127.00
922.60,902.44,1654.44,10023.00
922.54,902.39,1653.93,10073.00
922.49,902.35,1653.42,10084.00
922.44,902.31,1652.90,10103.00
922.39,902.27,1652.39,10089.00
922.34,902.23,1651.87,10071.00
922.28,902.18,1651.36,10050.00
922.23,902.14,1650.85,10126.00
922.18,902.10,1650.33,10115.00
922.13,902.06,1649.82,10119.00
922.08,902.02,1649.30,10140.00
922.02,901.98,1648.79,10114.00
921.97,901.93,1648.27,10110.00
921.92,901.89,1647.76,10068.00
921.87,901.85,1647.24,10033.00
921.82,901.81,1646.73,10097.00
921.76,901.77,1646.22,10048.00
921.71,901.72,1645.70,9993.00
921.66,901.68,1645.19,10025.00
921.61,901.64,1644.67,10018.00
921.56,901.60,1644.16,9971.00
921.50,901.56,1643.64,9932.00
921.45,901.51,1643.13,9962.00
921.40,901.47,1642.61,10030.00
921.35,901.43,1642.10,10002.00
921.29,901.39,1641.58,9979.00
921.24,901.35,1641.07,9939.00
921.19,901.30,1640.55,9979.00
921.14,901.26,1640.04,9927.00
921.09,901.22,1639.52,9925.00
921.03,901.18,1639.01,9931.00
920.98,901.14,1638.49,9853.00
920.93,901.09,1637.98,9891.00
920.88,901.05,1637.46,9906.00
920.83,901.01,1636.94,9893.00
920.77,900.97,1636.43,9919.00
920.72,900.93,1635.91,9889.00
920.67,900.88,1635.40,9863.00
920.62,900.84,1634.88,9849.00
920.57,900.80,1634.37,9847.00
920.51,900.76,1633.85,9888.00
920.46,900.72,1633.34,9864.00
920.41,900.67,1632.82,9880.00
920.36,900.63,1632.30,9904.00
920.30,900.59,1631.79,9862.00
920.25,900.55,1631.27,9887.00
920.20,900.51,1630.76,9815.00
920.15,900.47,1630.24,9813.00
920.10,900.42,1629.72,9807.00
920.04,900.38,1629.21,9855.00
919.99,900.34,1628.69,9750.00
919.94,900.30,1628.17,9838.00
919.89,900.26,1627.66,9807.00
919.84,900.21,1627.14,9789.00
919.78,900.17,1626.63,9800.00
919.73,900.13,1626.11,9826.00
919.68,900.09,1625.59,9778.00
919.63,900.05,1625.08,9746.00
919.58,900.00,1624.56,9816.00
919.52,899.96,1624.04,9839.00
919.47,899.92,1623.53,9821.00
919.42,899.88,1623.01,9787.00
919.37,899.84,1622.49,9781.00
919.31,899.79,1621.98,9762.00
919.26,899.75,1621.46,9804.00
919.21,899.71,1620.94,9768.00
919.16,899.67,1620.43,9769.00
919.11,899.63,1619.91,9757.00
919.05,899.58,1619.39,9743.00
919.00,899.54,1618.87,9775.00
918.95,899.50,1618.36,9766.00
918.90,899.46,1617.84,9802.00
918.85,899.42,1617.32,9768.00
918.79,899.37,1616.80,9723.00
918.74,899.33,1616.29,9738.00
918.69,899.29,1615.77,9770.00
918.64,899.25,1615.25,9690.00
918.59,899.21,1614.74,9745.00
918.53,899.16,1614.22,9751.00
918.48,899.12,1613.70,9734.00
918.43,899.08,1613.18,9749.00
918.38,899.04,1612.66,9785.00
918.33,899.00,1612.15,9648.00
918.27,898.96,1611.63,9755.00
918.22,898.91,1611.11,9675.00
918.17,898.87,1610.59,9705.00
918.12,898.83,1610.08,9727.00
918.06,898.79,1609.56,9677.00
918.01,898.75,1609.04,9652.00
917.96,898.70,1608.52,9738.00
917.91,898.66,1608.00,9671.00
917.86,898.62,1607.48,9742.00
917.80,898.58,1606.97,9650.00
917.75,898.54,1606.45,9716.00
917.70,898.49,1605.93,9716.00
917.65,898.45,1605.41,9728.00
917.60,898.41,1604.89,9696.00
917.54,898.37,1604.37,9658.00
917.49,898.33,1603.86,9623.00
917.44,898.28,1603.34,9671.00
917.39,898.24,1602.82,9665.00
917.34,898.20,1602.30,9640.00
917.28,898.16,1601.78,9595.00
917.23,898.12,1601.26,9725.00
917.18,898.07,1600.74,9654.00
917.13,898.03,1600.22,9640.00
917.07,897.99,1599.71,9716.00
917.02,897.95,1599.19,9741.00
916.97,897.91,1598.67,9656.00
916.92,897.86,1598.15,9647.00
916.87,897.82,1597.63,9602.00
916.81,897.78,1597.11,9624.00
916.76,897.74,1596.59,9626.00
916.71,897.70,1596.07,9578.00
916.66,897.65,1595.55,9674.00
916.61,897.61,1595.03,9572.00
916.55,897.57,1594.51,9607.00
916.50,897.53,1593.99,9596.00
916.45,897.49,1593.47,9589.00
916.40,897.44,1592.96,9665.00
916.35,897.40,1592.44,9505.00
916.29,897.36,1591.92,9587.00
916.24,897.32,1591.40,9474.00
916.19,897.28,1590.88,9546.00
916.14,897.24,1590.36,9599.00
916.08,897.19,1589.84,9625.00
916.03,897.15,1589.32,9580.00
915.98,897.11,1588.80,9633.00
915.93,897.07,1588.28,9624.00
915.88,897.03,1587.76,9578.00
915.82,896.98,1587.24,9548.00
915.77,896.94,1586.72,9570.00
915.72,896.90,1586.20,9605.00
915.67,896.86,1585.68,9543.00
915.62,896.82,1585.16,9627.00
915.56,896.77,1584.64,9554.00
915.51,896.73,1584.12,9533.00
915.46,896.69,1583.60,9612.00
915.41,896.65,1583.07,9521.00
915.36,896.61,1582.55,9558.00
915.30,896.56,1582.03,9542.00
915.25,896.52,1581.51,9520.00
915.20,896.48,1580.99,9542.00
915.15,896.44,1580.47,9618.00
915.10,896.40,1579.95,9469.00
915.04,896.35,1579.43,9535.00
914.99,896.31,1578.91,9507.00
914.94,896.27,1578.39,9479.00
914.89,896.23,1577.87,9492.00
914.83,896.19,1577.35,9562.00
914.78,896.14,1576.83,9514.00
914.73,896.10,1576.30,9522.00
914.68,896.06,1575.78,9500.00
914.63,896.02,1575.26,9540.00
914.57,895.98,1574.74,9515.00
914.52,895.93,1574.22,9473.00
914.47,895.89,1573.70,9567.00
914.42,895.85,1573.18,9523.00
914.37,895.81,1572.65,9498.00
914.31,895.77,1572.13,9541.00
914.26,895.73,1571.61,9438.00
914.21,895.68,1571.09,9516.00
914.16,895.64,1570.57,9491.00
914.11,895.60,1570.05,9497.00
914.05,895.56,1569.53,9529.00
914.00,895.52,1569.00,9515.00
913.95,895.47,1568.48,9538.00
913.90,895.43,1567.96,9546.00
913.84,895.39,1567.44,9472.00
913.79,895.35,1566.92,9450.00
913.74,895.31,1566.39,9534.00
913.69,895.26,1565.87,9468.00
913.64,895.22,1565.35,9550.00
913.58,895.18,1564.83,9486.00
913.53,895.14,1564.30,9522.00
913.48,895.10,1563.78,9514.00
913.43,895.05,1563.26,9478.00
913.38,895.01,1562.74,9469.00
913.32,894.97,1562.22,9507.00
913.27,894.93,1561.69,9484.00
913.22,894.89,1561.17,9468.00
913.17,894.84,1560.65,9518.00
913.12,894.80,1560.13,9443.00
913.06,894.76,1559.60,9473.00
913.01,894.72,1559.08,9444.00
912.96,894.68,1558.56,9458.00
912.91,894.63,1558.03,9492.00
912.85,894.59,1557.51,9491.00
912.80,894.55,1556.99,9487.00
912.75,894.51,1556.47,9394.00
912.70,894.47,1555.94,9382.00
912.65,894.42,1555.42,9425.00
912.59,894.38,1554.90,9448.00
912.54,894.34,1554.37,9351.00
912.49,894.30,1553.85,9403.00
912.44,894.26,1553.33,9400.00
912.39,894.22,1552.80,9392.00
912.33,894.17,1552.28,9375.00
912.28,894.13,1551.76,9328.00
912.23,894.09,1551.23,9368.00
912.18,894.05,1550.71,9309.00
912.13,894.01,1550.19,9232.00
912.07,893.96,1549.66,9204.00
912.02,893.92,1549.14,9215.00
911.97,893.88,1548.61,9090.00
911.92,893.84,1548.09,9117.00
911.87,893.80,1547.57,9021.00
911.81,893.75,1547.04,8959.00
911.76,893.71,1546.52,8905.00
911.71,893.67,1546.00,8844.00
911.66,893.63,1545.47,8788.00
911.60,893.59,1544.95,8772.00
911.55,893.54,1544.42,8617.00
911.50,893.50,1543.90,8575.00
911.45,893.46,1543.38,8492.00
911.40,893.42,1542.85,8442.00
911.34,893.38,1542.33,8230.00
911.29,893.33,1541.80,8235.00
911.24,893.29,1541.28,8137.00
911.19,893.25,1540.75,8105.00
911.14,893.21,1540.23,7986.00
911.08,893.17,1539.70,8008.00
911.03,893.12,1539.18,7892.00
910.98,893.08,1538.66,7937.00
910.93,893.04,1538.13,7876.00
910.88,893.00,1537.61,7870.00
910.82,892.96,1537.08,7895.00
910.77,892.91,1536.56,7843.00
910.72,892.87,1536.03,7838.00
910.67,892.83,1535.51,7828.00
910.61,892.79,1534.98,7844.00
910.56,892.75,1534.46,7889.00
910.51,892.70,1533.93,7896.00
910.46,892.66,1533.41,7955.00
910.41,892.62,1532.88,7960.00
910.35,892.58,1532.36,8007.00
910.30,892.54,1531.83,8092.00
910.25,892.50,1531.30,8208.00
910.20,892.45,1530.78,8243.00
910.15,892.41,1530.25,8324.00
910.09,892.37,1529.73,8387.00
910.04,892.33,1529.20,8480.00
909.99,892.29,1528.68,8559.00
909.94,892.24,1528.15,8682.00
909.89,892.20,1527.63,8645.00
909.83,892.16,1527.10,8792.00
909.78,892.12,1526.57,8802.00
